,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,company_name,email,home_page,phone_number,street_address,updated,url
63,63,63,6.0,INTERNATIONAL TRANS 06,info@internationaltrans06.com,www.internationaltrans06.com,+355 (0)52 236237,"Lagjia 3, Rruga Hamdi Troplini, Pallati Teuta Konstruksion, Durres, AL-2000, Albania",,http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
64,64,64,7.0,LINEAR SHPK,bkr.durres@gmail.com,,+355 (0)52 236 241,"Lagja 11, Rr S Xhemali 37, Durresi, Albania",,http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
65,65,65,8.0,ARBANON.COM,info@arbanon.com,www.arbanon.com,+355 67 223 4776,"L.4 , RR.Iljaz Reka, Durres Port, Tirane, Durres, Albania, 2000, Albania",,http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
66,66,66,9.0,DEDJA SHIPPING,info@dedjashipping.com,www.dedjashipping.com,+355 5222 3230,"Rr. vb Taulantia ,Lagja 1, Durresi Durres, Albania, 2000, Albania",,http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
67,67,67,10.0,GLOBAL SHIPPING SHPK,info@globalshipping.al,www.globalshipping.al,+355 69 203 2638,"Lagja 3, Rruga Egnatia, Pll 2E, ap 4, ,  Albania, 2000, Albania",,http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
68,68,68,0.0,P. PLASA SH. P.K.,piroplasa@yahoo.com,,+355672006655,"Zona Industriale (Industrial Zone), Korka City, Albania","Aug, 10, 2015",http://www.cargoyellowpages.com/en/albania/korca/page_01.html
69,69,69,0.0,MCM CARGO,armend@mcmcargo.net,www.mcmcargo.net,+377 (0)44 466 266,"Pristina Int. Airport, Cargo Terminal, Pristina, Kosovo, Albania","Apr, 29, 2015",http://www.cargoyellowpages.com/en/albania/pristine/page_01.html
70,70,70,0.0,TNT EXPRESS ALBANIA,vilson.duka@tnt.com,www.tnt.com,00355 692061175,"Street Mine Peza No 2, Tirana, Albania","Jun, 16, 2016",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
71,71,71,1.0,VUKAJ TRANS SHPK,info@vukaj-trans.com,www.vukaj-trans.com,+355 68 90 98 021,"Next to Tirana Custom, Tirana, Albania","Jan, 10, 2015",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
72,72,72,2.0,ALBANIAN CARGO LOGISTICS,besi@acl.al,www.acl.al/,+355 (0) 695233164,"Tirana International Airport, Cargo Administration Building, Tirana - Albania","Dec, 10, 2013",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
73,73,73,3.0,CAUSHI TRANS SHPK,caushitrans@hotmail.com,www.caushi-trans.com,003552408164,"Autostrada Tirane-Durres km.12, Tirana, Albania","May, 17, 2013",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
74,74,74,4.0,SKY NET LOGISTIC,erjon.ndreu@skynet.al,www.skynet-al.com,0035548320167,"Rruga Theodor Keko, Tirana , Albania","May, 16, 2013",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
75,75,75,5.0,DHL INTERNATIONAL LTD,,www.dhl.com,+355 (0)4 227 667,"Rr Donika Kastrioti 11, EGT Tower, Tirana, Albania",,http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
76,76,76,6.0,INTERLINER AGENCIES DOO,tirana@interliner-agencies.com,www.interliner-agencies.com,+389 2240 1930,"Prane Doganes, Tirana, Albania",,http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
77,77,77,7.0,MOVE ONE LOGISTICS/MOVE ONE RELOCATIONS,glenda.pajo@moveoneinc.com,www.moveoneinc.com,+355 (0)4 225 8103,"Rr Brigada e VIII, P Teknoprojekt Sh 2, Ap 3/2, No 33/1, Tirana, Albania",,http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
78,78,78,8.0,SBA ALBANIA SH.P.K,info@sba-group.net,www.sba-albania.com,+355 (0)42 251850,"Myslym Shyri, Street P 130/1, SH 2, Apt 1, Tirana, Albania",,http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
79,79,79,9.0,SHEGA-TRANS SHIPPING SA,info@shega-trans.com,www.shega-trans.com,+355 425 5008,"Tefta Tashko Str. No.10,  Tiranes, 00355, Albania",,http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
80,80,80,10.0,TRANSALBANIA LTD,info.tirana@kuehne-nagel.com,,+355 4 229727,"Rruga Deshmoret E 4 Shkurtit No 6, Tiranes, Tirana, Albania",,http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
81,81,0,,A.M.L LTD,,,+355 4 451 1243,"Rruga Gjergj Kasrtioti 9401,  Albania, 9400, Albania",,http://www.cargoyellowpages.com/en/albania/vlore/page_01.html
82,82,0,,SARL INTERNATIONAL POWER LOGISTICS (IPOL),management@ipolcompany.com,www.ipolcompany.com,+213 21 56 59 25,"79 Rue Marcello Fabri, Coperative Jugurtha 07, Les Sources, Bir Mourad Rais 16015, Algeris, Alg...","Aug, 21, 2014",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
83,83,1,,CEVA LOGISTICS ALGERIE SARL,olivier.durand@cevalogistics.com,www.cevalogistics.com,+213 (7)21 64 31 36,"7 Boulevard du Colonel, Hamirouche, 16000 Algiers, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
84,84,2,,BONGIORNO ALGERIE SARL,bongiorno@bongiornosrl.com,www.bongiornosrl.com,+213 (7)21 300684,"Villa No 32, Lot D, 16000 El Achour, Alger, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
85,85,3,,TIBA INTERNATIONAL,algiers@tibagroup.com,www.tibagroup.com,+213 (7)21 43 65 71,"C.C. Zem Zem, 4eme et., 12 Route de Sidi Yahia, 16000  Algeria, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
86,86,4,,ASIAFRIQUE LOGISTICS,,www.asiafriquelogistics.com,+213 (7)6 61 28 82 94,"Rue de Fevrier, Omnius, Algiers, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
87,87,5,,WEBSITE LINK GLOBAL LOGISTIC PARTNER SARL,,www.globallogisticpartner.com,+213 (7)21 21 97 10,"88 rue Harkat Djamel, Pins Maritimes, 16029 Algiers, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
88,88,6,,MIDEX,mdxalg@midexintl.com,www.midexairlines.com,+213 (7)21 63 13 04,"61-E Bd Mohamed V, Ferhat-Bousaad, 16005 Alger, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
89,89,7,,ARCON LOGISTICS SARL,arcon.logistic@yahoo.com,,+213 (7)5466 0860,"Zone Activate Zeralda N 71, 16000 Algiers, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
90,90,8,,ACA FREIGHT SARL,aca.freight@yahoo.com,,+213 (7)21 13 67 06,"56 Dar Diaf Cheraga, 16027 Algiers, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
91,91,9,,GLOBAL LOGISTICS PARTNER SARL,,www.globallogisticpartner.com,+213 (7)21 21 97 10,"88 Rue Harkat Djamel, Pins Maritimes, Mohamadia, 16029 Algiers, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
92,92,10,,FLASH TRANSIT SARL,flash@transitalgeria.com,www.transitalgeria.com,+213 (7)21 63 83 83,"9 Rue Charras Alger, 16000 Alger, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
93,93,11,,FMI-ALGERIE,d.subra@fmigroupe.fr,www.fmigroupe.com,+213 (7)21 446400,"Coop ANNASR, No 60 Les Vergers, Kouba, Algiers, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
94,94,12,,EXPRESS HANDLING SERVICES,operations1@ehs.fr,www.ehs.fr,+33 1 70 03 84 07,"Route de Bordj El Bahri Hai Souachette, Rouiba Alger, Alger, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
95,95,13,,"MARMEDSA BEMARINE, S.A.R.L.",jlorente@marmedsabemarine.com,www.marmedsabemarine.com,+213 (0)2156 2170,"115 Lotissement La Cadat, Les Sources B.M.R., 2020, Algiers/Alger, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
96,96,14,,MARITIME SERVICES ALGERIA,,www.msalg.com,+21321210458,"Lot N51 Pins Maritime Mohammedia Algiers City, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
97,97,0,,TRANSIT KAMAR LOUAR,tkl1988@gmail.com,,+213 (7)21 73 73 78,"Zone Fret, Aeroport Houari Boumediene, 1600 Algiers, Algeria",,http://www.cargoyellowpages.com/en/algeria/algiers-airport/page_01.html
98,98,0,,ALSHIPLINK,ops@alshiplink-dz.com,www.alshiplink-dz.com,+213 38 16 48,"07, Rue Mezigueche Med Laid, Annaba, Algiers, Algeria","Dec, 10, 2013",http://www.cargoyellowpages.com/en/algeria/annaba/page_01.html
99,99,0,,GENERAL SHIP SUPPLY & LOGISTICS,a.harfi@gssalgeria.com,www.gssalgeria.com,0661801110,"Promotion Immobiliere EPBTP Bloc C N 115, Bejaia, 06000 Algeria","Jan, 17, 2016",http://www.cargoyellowpages.com/en/algeria/bejaia/page_01.html
100,100,1,,SEASCOPE LOGISTICS & TRANSPORT,genmbox@seascopelt.com,www.seascopelt.com,+213 34 22 7798,"Cite 107 Lgts Bt ""5"" No. 4 Naceria 06000 Bejaia, Algeria",,http://www.cargoyellowpages.com/en/algeria/bejaia/page_01.html
101,101,0,,SDV ALGERIE,alg@sdv.com,www.sdv.com,+213 (7)21 81 90 05,"Route Nationale n°149, Lieu dit Hai Ben Amar, Commune Hamadi, Boumerdes, Algeria",,http://www.cargoyellowpages.com/en/algeria/boumerdes/page_01.html
102,102,0,,CEVA LOGISTICS ALGERIE SARL,ovamara.nazim@cevalogistics.com,www.cevalogistics.com,+213 (7)29 73 60 93,", Algeria",,http://www.cargoyellowpages.com/en/algeria/hassi-messaoud/page_01.html
103,103,1,,PANALPINA ALGERIE,info.northafrica@panalpina.com,www.panalpina.com,+213 (7)21 23 00 11,"05, rue Laroussi Amroune, chemin des Glycines, Poirson - el Biar, 16030  Algér, Algeria",,http://www.cargoyellowpages.com/en/algeria/hassi-messaoud/page_01.html
104,104,0,,FMI-ALGERIE,nhennous@fmialgerie.dz,www.fmigroupe.com,+213 (7)21 446400,"El Mansoura, Cite El Emir, Rue Larbi Ben M´hidi, No 106,  Algeria, Algeria",,http://www.cargoyellowpages.com/en/algeria/oran/page_01.html
